index,name,url
0,Smer,https://www.transparentneucty.sk/#/ucet/SK8609000000005212781753
1,SaS,https://www.transparentneucty.sk/#/ucet/SK3609000000005212248959
2,SNS,https://www.transparentneucty.sk/#/ucet/SK1109000000005212432254
3,Republika,https://ib.vub.sk/pch/transparentne-ucty?iban=SK5202000000004917050358
4,Progresívne Slovensko,https://www.tatrabanka.sk/sk/personal/ucet-platby/transparentne-ucty/ucet/?iban=sk6111000000002947164568
5,Slovensko,https://www.transparentneucty.sk/#/ucet/SK5509000000005213087085
6,KDH,https://www.transparentneucty.sk/#/ucet/SK8709000000005213419510
7,Demokrati,https://www.tatrabanka.sk/sk/personal/ucet-platby/transparentne-ucty/ucet/?iban=sk8511000000002946166297
8,KÚ,https://www.transparentneucty.sk/#/ucet/SK3509000000005213785166
9,Pirátska strana,https://ib.fio.sk/ib/transparent?a=2202814976
10,KSS,https://www.transparentneucty.sk/#/ucet/SK8809000000005214083457
11,Kotlebovci ĽSNS,https://www.transparentneucty.sk/#/ucet/SK6509000000005213275473
12,Slovenský patriot,https://ib.fio.sk/ib/transparent?a=2802819121
13,SOSK,https://ib.vub.sk/pch/transparentne-ucty?iban=SK7802000000004942326053
14,Srdce,https://www.transparentneucty.sk/#/ucet/SK1109000000005213928091
15,Volt Slovensko,https://www.tatrabanka.sk/sk/personal/ucet-platby/transparentne-ucty/ucet/?iban=sk9311000000002947168454
16,Hlas,https://www.transparentneucty.sk/#/ucet/SK5209000000005213487943
17,MySlovensko,https://www.transparentneucty.sk/#/ucet/SK6209000000005214774274
18,Socialisti.sk,https://www.tatrabanka.sk/sk/personal/ucet-platby/transparentne-ucty/ucet/?iban=sk4111000000002949169530
19,Zdravý rozum,https://www.transparentneucty.sk/#/ucet/SK2909000000005214182586
20,Spoločne občania Slovenska,https://www.transparentneucty.sk/#/ucet/SK8109000000005215267565
21,Maďarská Aliancia,https://moja.csob.sk/transparent-accounts/5cfba59aa36dafcd69c39f69aae504e03df19d30983601ba72b700aefea5d295
